topic_index,topic_id,topic_title,tag_id,tag_name,level,is_new,topic_is_show,question_index,question_id,part,question_is_show,content
1,438,The area you live in,21,地点,1,1,1,1,1465,1,1,What are some changes in the area recently?
1,438,The area you live in,21,地点,1,1,1,2,4995,1,1,Are the people in your neighborhood nice and friendly？
1,438,The area you live in,21,地点,1,1,1,3,4994,1,1,Do you live in a noisy or a quiet area?
1,438,The area you live in,21,地点,1,1,1,4,1466,1,1,Do you know any of your neighbors?
1,438,The area you live in,21,地点,1,1,1,5,1464,1,1,Do you like the area that you live in?
1,438,The area you live in,21,地点,1,1,1,6,1463,1,1,What changes have been made to the area recently?
1,438,The area you live in,21,地点,1,1,1,7,1462,1,1,Do you know any famous people in your area?
1,438,The area you live in,21,地点,1,1,1,8,1461,1,1,Where do you like to go in that area?
2,12,Work or study,19,事物,1,1,1,1,98,1,1,What subject(s) are you studying?
2,12,Work or study,19,事物,1,1,1,2,104,1,1,What technology do you use when you study?
2,12,Work or study,19,事物,1,1,1,3,108,1,1,Who helps you the most？And how?
2,12,Work or study,19,事物,1,1,1,4,109,1,1,How much time do you spend on your studies each week?
2,12,Work or study,19,事物,1,1,1,5,103,1,1,Do you prefer to study in the mornings or in the afternoons?
2,12,Work or study,19,事物,1,1,1,6,102,1,1,Are you looking forward to working?
2,12,Work or study,19,事物,1,1,1,7,101,1,1,Is it very interesting?
2,12,Work or study,19,事物,1,1,1,8,100,1,1,Do you like your subject?(Why?/Why not?)
2,12,Work or study,19,事物,1,1,1,9,99,1,1,Why did you choose to study that subject?/Why did you choose to study those subjects?
2,12,Work or study,19,事物,1,1,1,10,5002,1,1,Do you think that your subject is popular in your country?
2,12,Work or study,19,事物,1,1,1,11,5003,1,1,Do you have any plans for your studies in the next five years?
2,12,Work or study,19,事物,1,1,1,12,5005,1,1,Do you want to change your major?
2,12,Work or study,19,事物,1,1,1,13,5006,1,1,What changes would you like to see in your school?
2,12,Work or study,19,事物,1,1,1,14,5009,1,1,What do you think is the most important at the moment?
2,12,Work or study,19,事物,1,1,1,15,93,1,1,What work do you do?
2,12,Work or study,19,事物,1,1,1,16,97,1,1,Do you miss being a student?
2,12,Work or study,19,事物,1,1,1,17,110,1,1,Do you want to change jobs?
2,12,Work or study,19,事物,1,1,1,18,111,1,1,What kinds of technology do you use at work?
2,12,Work or study,19,事物,1,1,1,19,96,1,1,Is your work interesting?
2,12,Work or study,19,事物,1,1,1,20,95,1,1,Do you like your job?
2,12,Work or study,19,事物,1,1,1,21,94,1,1,"Why did you choose to do that type of work (or, that job)?"
2,12,Work or study,19,事物,1,1,1,22,5004,1,1,What are the benefits of being your age?
2,12,Work or study,19,事物,1,1,1,23,5007,1,1,What requirements did you need to meet to get current job？
2,12,Work or study,19,事物,1,1,1,24,106,1,0,Do you like your subject?
2,12,Work or study,19,事物,1,1,1,25,5008,1,1,Do you have any plants for your work in the next five years?
2,12,Work or study,19,事物,1,1,1,26,5010,1,0,What technology do you use at work?
3,9,Hometown,21,地点,1,1,1,1,67,1,1,Did you learn about the history of your hometown at school?
3,9,Hometown,21,地点,1,1,1,2,66,1,1,What’s your hometown famous for?
3,9,Hometown,21,地点,1,1,1,3,65,1,1,How long have you lived there?
3,9,Hometown,21,地点,1,1,1,4,64,1,1,Is that a big city or a small place?
3,9,Hometown,21,地点,1,1,1,5,63,1,0,What's (the name of) your hometown ?
3,9,Hometown,21,地点,1,1,1,6,62,1,1,Do you think you will continue living there for a long time?
3,9,Hometown,21,地点,1,1,1,7,61,1,1,Is there anything you dislike about it?
3,9,Hometown,21,地点,1,1,1,8,60,1,1,What do you like about your hometown?
3,9,Hometown,21,地点,1,1,1,9,59,1,1,Do you like living there?
3,9,Hometown,21,地点,1,1,1,10,58,1,1,Do you like your hometown?
3,9,Hometown,21,地点,1,1,1,11,57,1,1,How long have you been living there?
3,9,Hometown,21,地点,1,1,1,12,56,1,1,Please describe your hometown a little.
3,9,Hometown,21,地点,1,1,1,13,55,1,1,Is your hometown a big city or a small place?
3,9,Hometown,21,地点,1,1,1,14,54,1,1,Where would you like to live?
3,9,Hometown,21,地点,1,1,1,15,53,1,1,Do you plan to continue living there?
3,9,Hometown,21,地点,1,1,1,16,52,1,1,Where's your hometown?
4,8,Home/Accommodation,21,地点,1,1,1,1,51,1,1,Do you think it is important to live in a comfortable environment?
