topic_index,topic_id,topic_title,tag_id,tag_name,level,is_new,topic_is_show,question_index,question_id,part,question_is_show,content
1,1230,发小,18,人物,1,1,1,1,3556,2,1,Describe a friend from your childhood You should say: Who he/she is Where you met each other What you often did together And explain what made you like him/her
1,1230,发小,18,人物,1,1,1,2,3555,3,1,What do you think of online social media?
1,1230,发小,18,人物,1,1,1,3,3554,3,1,Do you still keep in touch with your friends from childhood? Why or why not?
1,1230,发小,18,人物,1,1,1,4,3553,3,1,How important is childhood friendship to children?
1,1230,发小,18,人物,1,1,1,5,3552,3,1,What do you think of communicating via social media?
1,1230,发小,18,人物,1,1,1,6,3551,3,1,Do you use a lot of emojis online?
1,1230,发小,18,人物,1,1,1,7,3550,3,1,Do you think online communication through social media will replace face-to-face communication?
2,1185,交通拥堵,20,事件,3,1,1,1,3454,2,1,Describe a time when you were stuck in a traffic jam You should say: When it happened Where you were stuck What you did while waiting And explain how you felt in the traffic jam
2,1185,交通拥堵,20,事件,3,1,1,2,3450,3,1,How can we solve the traffic jam problem?
2,1185,交通拥堵,20,事件,3,1,1,3,3451,3,1,Do you think developing public transportation can solve traffic jam problems?
2,1185,交通拥堵,20,事件,3,1,1,4,3452,3,1,Do you think highways can help reduce traffic jams?
2,1185,交通拥堵,20,事件,3,1,1,5,3453,3,1,What are some effective ways to manage traffic?
2,1185,交通拥堵,20,事件,3,1,1,6,6235,3,1,Would you rather be in a car or a bus in a traffic jam?
2,1185,交通拥堵,20,事件,3,1,1,7,6234,3,1,Do you like to use public transport?
3,1117,语言学习,20,事件,3,1,1,1,3273,2,1,Describe something that helped you learn a language You should say What it is What language you learned How it helped you learn the language And how you felt about it
3,1117,语言学习,20,事件,3,1,1,2,3269,3,1,What difficulties do people face when learning a language?
3,1117,语言学习,20,事件,3,1,1,3,3270,3,1,Do you think language learning is important? Why?
3,1117,语言学习,20,事件,3,1,1,4,3271,3,1,"Which is better, to study alone or to study in a group? Why?"
3,1117,语言学习,20,事件,3,1,1,5,3272,3,1,What’s the best way to learn a language?
4,1101,收到特殊蛋糕,20,事件,3,1,1,1,3230,2,1,Describe a special cake you received from others You should say When it happened Where it happened Who you got the cake from And explain why it’s a special cake
4,1101,收到特殊蛋糕,20,事件,3,1,1,2,3229,3,1,Do you think it’s good to communicate when eating with your family?
4,1101,收到特殊蛋糕,20,事件,3,1,1,3,3228,3,1,Why are some people willing to spend a lot of money on meals or special days?
4,1101,收到特殊蛋糕,20,事件,3,1,1,4,5344,3,1,Is there any food in your country that is eaten at special times or on special occasions?
4,1101,收到特殊蛋糕,20,事件,3,1,1,5,3226,3,1,What are the difference between special food in China and foreign countries?
4,1101,收到特殊蛋糕,20,事件,3,1,1,6,6120,3,1,"In your country, do people nowadays cook at home as frequently as people did in the past?"
4,1101,收到特殊蛋糕,20,事件,3,1,1,7,3227,3,0,Do people usually cook special food in China?
5,185,重要河流/湖泊,19,事物,2,1,1,1,678,2,1,Describe an important river/lake in your country You should say: Where it is located How big/long it is What it looks like And explain why it is important
5,185,重要河流/湖泊,19,事物,2,1,1,2,672,3,1,How can rivers/lakes benefit local people?
5,185,重要河流/湖泊,19,事物,2,1,1,3,673,3,1,Do you think rivers/lakes attract tourists?
5,185,重要河流/湖泊,19,事物,2,1,1,4,676,3,1,How do rivers and lakes affect local tourism?
5,185,重要河流/湖泊,19,事物,2,1,1,5,677,3,1,Are rivers and lakes good for transport?
5,185,重要河流/湖泊,19,事物,2,1,1,6,675,3,0,Do you think rivers and lakes attract tourists?
5,185,重要河流/湖泊,19,事物,2,1,1,7,671,3,0,Do people in your country go swimming in their spare time?
5,185,重要河流/湖泊,19,事物,2,1,1,8,670,3,0,Is it necessary for everyone to learn swimming?
5,185,重要河流/湖泊,19,事物,2,1,1,9,668,3,0,Do people like the rivers in your country?
6,182,花费甚少的外出日,20,事件,2,1,1,1,657,2,1,Describe a special day out that cost you little money/didn’t cost you much You should say: When was the day Where you went How much you spent And explain how you feel about the day
6,182,花费甚少的外出日,20,事件,2,1,1,2,652,3,1,Do people like to spend their leisure time outside in your country?
6,182,花费甚少的外出日,20,事件,2,1,1,3,653,3,0,How do people spend their leisure time in China?
6,182,花费甚少的外出日,20,事件,2,1,1,4,654,3,1,How does technology affect the way people spend their leisure time?
6,182,花费甚少的外出日,20,事件,2,1,1,5,655,3,1,Do you think only old people have time for leisure?
6,182,花费甚少的外出日,20,事件,2,1,1,6,6269,3,1,Going out to have holidays is tiring. Why do people still want to do it?
6,182,花费甚少的外出日,20,事件,2,1,1,7,6268,3,1,Why do people like to have days off?
