topic_index,topic_id,topic_title,tag_id,tag_name,level,is_new,topic_is_show,question_index,question_id,part,question_is_show,content
1,1919,新法律 + 重要决定 + 动物故事书 + 困难后成功的人,19,事物,0,1,1,1,6277,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
2,1918,无聊地方 + 科技问题 + 近期看的节目 + 花很久回信息,19,事物,0,1,1,1,6276,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
3,1917,高建筑 + 特别场合食物 + 喜欢拜访但不想住的家 + 改变重要想法,19,事物,0,1,1,1,6275,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
4,1916,喜欢种菜的人 + 团队中工作 + 名人广告 + 坏掉的电子设备,18,人物,0,1,1,1,6274,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
5,1915,最喜欢的城市 + 想旅游的地方 + 喜欢现场体育赛事 + 推荐旅行过的地方,21,地点,0,1,1,1,6273,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
6,1914,发小 + 早起经历 + 近期改变的计划 + 别人帮助解决问题 + 长久目标,18,人物,0,1,1,1,6272,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
7,1723,免费物品/去过且推荐的宜居之地,21,地点,0,0,0,1,5445,4,1,Describe a place you have been to and would like to recommend others to live there (not your hometown) You should say: Where it is What the place is like When you visited there Who you went there with And explain why you would recommend this place to others； Describe something you received for free You should say: What it was Who you received it from Where you received it And how you felt about it
8,1722,帮助小孩\造福社会的工作,20,事件,0,0,0,1,5444,4,1,Describe a person who contributes to the society You should say: Who the person is How you knew him/her What type of work he/she does And explain why you think he/she contributes to the society； Describe a time when you helped a child You should say: When it was How you helped him/her Why you helped him/her And how you felt about it
9,1718,有趣的歌曲/提高注意力/节约时间的方法&改变,20,事件,3,0,0,1,5422,4,1,Describe an interesting song You should say: What the song is What story the song tells Whether the song is popular And explain why you think it is interesting； Describe something you do that can help you concentrate on work/study You should say: What it is How it helps you concentrate When you do it And explain how you feel about it； Describe a way/change that helps you save a lot of time You should say What it is How you implement it How difficult it is And explain how you feel about the way/change
10,1716,壮志未酬/忙碌时期,20,事件,0,0,0,1,5412,4,1,Describe an ambition that you haven't achieved You should say: What it is Why you haven't achieved it What you did And how you felt about it; Describe a period you were busy You should say: When it was What you did during the period What made you busy And explain how you felt about the experience
